,term-or-expression,explicit-or-implicit,lemma,en-contextual-label,en-hate-label,label,pos,id,category,stereotype,level
3056,,,hetaerism,,,,n,EN7848,pr,no,inclusive
3057,,,stinginess,,,,n,EN609,svp,no,inclusive
3058,,,criminals,,,,n,EN3026,re,no,inclusive
3059,,,hispanic,,,,n,EN6210,ps,yes,inclusive
3060,,,tree of life animalia,,,,n,EN389,ddp,yes,inclusive
3061,,,trickster,,,,n,EN2864,dmc,yes,conservative
3062,,,scrapped,,,,n,EN2594,qas,no,inclusive
3063,,,lying in trade,,,,n,EN5024,qas,no,conservative
3064,,,ostentatiousness,,,,n,EN4930,cds,no,inclusive
3065,,,intermediator,,,,n,EN4228,cds,no,inclusive
3066,,,computer geek,,,,n,EN5433,cds,no,conservative
3067,,,growers,,,,n,EN3805,qas,no,inclusive
3068,,,🚼,,,,n,EN7063,cds,no,inclusive
3069,,,immoralistically,,,,n,EN3638,dmc,yes,inclusive
3070,,,muttonhead,,,,n,EN538,asf,no,conservative
3071,,,terrifies,,,,n,EN7706,re,no,inclusive
3072,,,cosa nostra,,,,n,EN5484,re,no,conservative
3073,,,dusk biter,,,,n,EN5382,an,no,inclusive
3074,,,bothridium,,,,n,EN6181,an,no,inclusive
3075,,,m. o. f. i. a.,,,,n,EN5488,cds,no,inclusive
3076,,,siphonoptera,,,,n,EN3898,an,no,inclusive
3077,,,mestizo,,,,n,EN5826,ps,yes,conservative
3078,,,moral core,,,,n,EN3557,dmc,yes,inclusive
3079,,,nitwit,,,,n,EN2991,ps,yes,conservative
3080,,,orangish-black,,,,n,EN1539,asm,no,inclusive
3081,,,béguines,,,,n,EN1032,cds,no,inclusive
3082,,,conspiracism,,,,n,EN7938,cds,no,inclusive
3083,,,choler,,,,n,EN5200,svp,no,inclusive
3084,,,correspondents,,,,n,EN2432,cds,no,inclusive
3085,,,federal inmate,,,,n,EN1804,ddp,yes,inclusive
3086,,,fuckup,,,,n,EN1385,cds,no,inclusive
3087,,,tatterdemalion,,,,n,EN6857,is,yes,conservative
3088,,,minginess,,,,n,EN2174,svp,no,conservative
3089,,,bohemian,,,,n,EN8228,ps,yes,inclusive
3090,,,motherfather,,,,n,EN1316,cds,no,conservative
3091,,,fascists,,,,n,EN4078,cds,no,conservative
3092,,,domestic ram,,,,n,EN5922,an,no,inclusive
3093,,,effing,,,,n,EN2375,asm,no,conservative
3094,,,mystifies,,,,n,EN2909,dmc,yes,conservative
3095,,,businessmen,,,,n,EN1581,qas,no,inclusive
3096,,,"the ""mf"" word",,,,n,EN1308,cds,no,conservative
3097,,,bind,,,,n,EN3888,qas,no,inclusive
3098,,,bunco,,,,v,EN6672,re,no,inclusive
3099,,,vainglory,,,,n,EN1672,cds,no,conservative
3100,,,churl,,,,n,EN663,ddp,yes,conservative
3101,,,circus,,,,n,EN2097,qas,no,inclusive
3102,,,comptroller,,,,n,EN7203,pa,yes,inclusive
3103,,,goth,,,,n,EN738,pa,yes,conservative
3104,,,barberian,,,,n,EN730,pa,yes,conservative
3105,,,cross-dressed,,,,n,EN7817,om,no,inclusive
3106,,,heterai,,,,n,EN7843,pr,no,inclusive
3107,,,crossbreed,,,,n,EN2776,ps,yes,inclusive
3108,,,chernozhopyi,,,,n,EN6090,ps,yes,conservative
3109,,,shag,,,,v,EN4278,asm,no,conservative
3110,,,slutteries,,,,n,EN901,pr,no,conservative
3111,,,indecent,,,,a,EN5008,dmc,yes,conservative
3112,,,physiognomy,,,,n,EN2494,an,no,inclusive
3113,,,second secretary,,,,n,EN780,pa,yes,inclusive
3114,,,heteara,,,,n,EN7849,pr,no,inclusive
3115,,,macrofauna,,,,n,EN404,an,no,inclusive
3116,,,swinish,,,,a,EN8245,cds,no,conservative
3117,,,incriminator,,,,n,EN3011,cds,no,inclusive
3118,,,cullibility,,,,n,EN2658,asm,no,conservative
3119,,,mingle-mangle,,,,n,EN313,qas,no,inclusive
3120,,,th. metzger,,,,n,EN1915,ddp,yes,conservative
3121,,,reprobate,,,,n,EN4345,cds,no,conservative
3122,,,prostitute,,,,n,EN897,pr,no,conservative
3123,,,rapacity,,,,n,EN578,svp,no,inclusive
3124,,,mosquitos,,,,n,EN5386,an,no,inclusive
3125,,,🐄,,,,n,EN1477,pr,no,inclusive
3126,,,gambling industry,,,,n,EN1860,cds,no,inclusive
3127,,,costiveness,,,,n,EN605,svp,no,inclusive
3128,,,calamitous,,,,a,EN3683,dmc,yes,conservative
3129,,,libeler,,,,n,EN2026,re,no,conservative
3130,,,boycrazily,,,,n,EN6236,cds,no,conservative
3131,,,villainess,,,,n,EN1734,cds,no,conservative
3132,,,bedbugs,,,,n,EN2616,an,no,inclusive
3133,,,gourmandizing,,,,n,EN3396,svp,no,conservative
3134,,,unnatural,,,,a,EN6839,om,no,inclusive
3135,,,scrooge,,,,n,EN664,is,yes,conservative
3136,,,indifferent to events,,,,n,EN48,svp,no,inclusive
3137,,,calé,,,,n,EN8190,ps,yes,inclusive
3138,,,cash-hungry,,,,a,EN706,svp,no,conservative
3139,,,drag queens,,,,n,EN7969,om,no,inclusive
3140,,,defrauder,,,,n,EN2040,cds,no,inclusive
3141,,,culled,,,,n,EN2858,cds,no,conservative
3142,,,pecker,,,,n,EN2193,asm,no,conservative
3143,,,idiocity,,,,n,EN1898,ddp,yes,conservative
3144,,,petit pois,,,,n,EN5724,asm,no,inclusive
3145,,,terrists,,,,n,EN7709,re,no,conservative
3146,,,foul-smelling,,,,a,EN4142,dmc,yes,conservative
3147,,,boor,,,,n,EN734,ps,yes,conservative
3148,,,cacography,,,,n,EN1772,cds,no,inclusive
3149,,,rectal sex,,,,n,EN270,om,no,inclusive
3150,,,inactivity,,,,n,EN4905,svp,no,inclusive
3151,,,shepherds,,,,n,EN5962,pa,yes,inclusive
3152,,,lubber,,,,n,EN2990,ddp,yes,conservative
3153,,,orange peel,,,,n,EN6473,or,no,inclusive
3154,,,hyper sexual,,,,n,EN6235,cds,no,conservative
3155,,,bitser,,,,n,EN1248,cds,no,inclusive
3156,,,power,,,,n,EN1199,qas,no,inclusive
3157,,,cuckolding,,,,n,EN1352,an,no,conservative
3158,,,sea scorpions,,,,n,EN3667,an,no,inclusive
3159,,,slacking,,,,n,EN5341,cds,no,conservative
3160,,,kumpangs,,,,n,EN4459,pr,no,inclusive
3161,,,trencher-knife,,,,n,EN3390,svp,no,conservative
3162,,,fucc,,,,n,EN2322,asm,no,conservative
3163,,,heel,,,,n,EN1230,an,no,conservative
3164,,,criminate,,,,n,EN3013,re,no,inclusive
3165,,,deceiving,,,,n,EN2904,dmc,yes,conservative
3166,,,girl-crazier,,,,n,EN6348,cds,no,conservative
3167,,,faggotry,,,,n,EN2456,or,no,conservative
3168,,,instructor,,,,n,EN4944,cds,no,inclusive
3169,,,disgustingly,,,,n,EN3151,svp,no,inclusive
3170,,,moralised,,,,n,EN3573,dmc,yes,inclusive
3171,,,nadgers,,,,n,EN688,asm,no,inclusive
3172,,,poof,,,,n,EN2453,om,no,inclusive
3173,,,saunf,,,,n,EN3842,om,no,inclusive
3174,,,paederastic,,,,n,EN5592,om,no,inclusive
3175,,,stupe,,,,n,EN869,ddp,yes,conservative
3176,,,sexual impulsivity,,,,n,EN6288,cds,no,conservative
3177,,,kin,,,,n,EN2126,cds,no,inclusive
3178,,,palaearctic vipers,,,,n,EN8039,an,no,inclusive
3179,,,father,,,,n,EN6541,qas,no,inclusive
3180,,,pariahs,,,,n,EN1876,dmc,yes,inclusive
3181,,,cheek,,,,n,EN1994,cds,no,conservative
3182,,,gallant,,,,n,EN974,cds,no,inclusive
3183,,,profligately,,,,n,EN3705,dmc,yes,inclusive
3184,,,hiney,,,,n,EN3315,om,no,inclusive
3185,,,roguery,,,,n,EN1106,re,no,conservative
3186,,,habitual,,,,a,EN6866,qas,no,inclusive
